PLAYER NAME|CLUB|LEAGUE|POS|OVR|PAC|SHO|PAS|DRI|DEF|PHY
Olivier Giroud|Milan|Serie A TIM|ST|89|89|91|81|91|45|81
Lorenzo Insigne|Napoli|Serie A TIM|LW|89|93|87|81|91|45|81
Federico Chiesa|Piemonte Calcio|Serie A TIM|ST|89|84|70|90|82|85|74
David Alaba|Real Madrid|LaLiga Santander|CB|89|84|70|90|82|85|74
Thomas Müller|FC Bayern München|Bundesliga|CAM|89|83|57|78|77|91|84
Bruno Fernandes|Manchester Utd|Premier League|CM|89|88|75|87|88|85|77
Ciro Immobile|Latium|Serie A TIM|ST|89|76|40|70|72|90|90
Marquinhos|Paris SG|Ligue 1 Uber Eats|CB|89|55|82|92|82|72|70
Hakim Ziyech|Chelsea|Premier League|RW|89|61|61|92|75|91|79
Vinícius Jr.|Real Madrid|LaLiga Santander|LW|89|95|85|82|91|44|74
Gaëtan Laborde|Stade Rennais FC|Ligue 1 Uber Eats|ST|89|72|63|81|93|81|88
Pierre-Emerick Aubame...|Arsenal|Premier League|ST|89|90|70|83|84|83|76
Yannick Carrasco|Atlético de Madrid|LaLiga Santander|LM|89|88|89|73|83|41|79
Reece James|Chelsea|Premier League|RWB|89|82|87|87|89|51|71
Luis Díaz|Liverpool|Premier League|LM|89|85|72|87|90|81|81
Romelu Lukaku|Chelsea|Premier League|ST|89|80|62|68|75|87|90
Kingsley Coman|FC Bayern München|Bundesliga|ST|89|72|71|77|75|89|86
Fabinho|Liverpool|Premier League|CF|89|73|91|84|85|48|85
Gabriel Jesus|Manchester City|Premier League|ST|89|91|83|87|91|48|66
Gabriel Jesus|Manchester City|Premier League|ST|89|90|88|87|91|55|84
Trent Alexander-Arnold|Liverpool|Premier League|RB|89|71|51|63|62|91|90
Trent Alexander-Arnold|Liverpool|Premier League|RB|89|80|85|92|86|68|80
Marquinhos|Paris SG|Ligue 1 Uber Eats|CB|89|82|70|88|85|90|70
João Cancelo|Manchester City|Premier League|LB|89|90|93|85|90|42|73
Rúben Dias|Manchester City|Premier League|CB|89|68|83|91|92|32|67
Toni Kroos|Real Madrid|LaLiga Santander|CM|89|83|90|72|85|44|80
Mats Hummels|Borussia Dortmund|Bundesliga|CB|89|85|90|75|80|46|88
João Félix|Atlético de Madrid|LaLiga Santander|CF|89|90|88|78|89|41|70
Marco Verratti|Paris SG|Ligue 1 Uber Eats|CM|89|85|82|87|90|43|70
Trent Alexander-Arnold|Liverpool|Premier League|RB|89|78|87|88|82|78|88
Ciro Immobile|Latium|Serie A TIM|ST|89|82|83|90|90|41|61
Marco Reus|Borussia Dortmund|Bundesliga|CAM|89|80|86|88|84|75|80
Frenkie de Jong|FC Barcelona|LaLiga Santander|CM|89|82|90|68|80|43|76
Matthijs de Ligt|Piemonte Calcio|Serie A TIM|CB|89|92|87|85|92|40|70
Sergio Ramos|Paris SG|Ligue 1 Uber Eats|CB|89|82|88|88|88|46|83
Luis Suárez|Atlético de Madrid|LaLiga Santander|ST|89|83|87|75|81|42|78
Abedi Ayew|Ligue 1 Uber Eats||CAM|89|88|86|88|88|52|80
David Ginola|Ligue 1 Uber Eats||LM|89|84|90|75|78|48|84
Jürgen Kohler|Bundesliga||CB|89|71|86|89|81|64|80
David Beckham|Icons|Icons|RM|89|66|60|81|75|91|83
Bastian Schweinsteiger|Icons|Icons|CM|89|89|90|70|84|38|74
Philipp Lahm|Icons|Icons|CDM|89|84|80|90|88|47|64
Ferenc Puskás|Icons|Icons|CF|89|71|66|75|70|90|84
Juan Román Riquelme|Icons|Icons|CAM|89|76|44|62|67|92|82
Ian Rush|Icons|Icons|ST|89|82|77|89|90|36|62
Didier Drogba|Icons|Icons|ST|89|85|87|89|89|40|65
Hugo Sánchez|Icons|Icons|ST|89|83|91|72|86|35|76
Kaká|Icons|Icons|CAM|89|80|85|88|90|38|77
Michael Ballack|Icons|Icons|CM|89|79|68|70|79|90|85
Roberto Baggio|Icons|Icons|CF|89|95|91|82|90|43|78
Steven Gerrard|Icons|Icons|CM|89|84|90|77|83|45|86
David Trezeguet|Icons|Icons|ST|89|90|87|81|90|45|75
Johan Cruyff|Icons|Icons|CF|89|76|86|81|87|39|77
Sócrates|Icons|Icons|CAM|89|78|60|71|72|91|84
Miroslav Klose|Icons|Icons|ST|89|70|73|86|84|83|79
Pavel Nedvěd|Icons|Icons|LM|89|65|73|76|73|86|90
Alan Shearer|Icons|Icons|ST|89|91|83|80|89|44|77
Paul Scholes|Icons|Icons|CM|89|88|87|82|86|43|69
Bobby Moore|Icons|Icons|CB|89|90|91|82|90|46|96
Gary Lineker|Icons|Icons|ST|89|97|86|83|92|45|80
Ryan Giggs|Icons|Icons|LM|89|92|72|81|90|84|92
Fernando Hierro|Icons|Icons|CB|89|86|46|72|74|88|91
Fabio Cannavaro|Icons|Icons|CB|89|88|78|84|86|89|87
Michael Laudrup|Icons|Icons|LW|89|91|73|84|88|87|86
Gheorghe Hagi|Icons|Icons|CAM|89|91|89|83|87|59|85
Marco van Basten|Icons|Icons|ST|89|81|40|73|76|90|96
Ronaldinho|Icons|Icons|CAM|89|99|85|88|90|82|92
Laurent Blanc|Icons|Icons|CB|89|95|82|84|93|54|71
Eusébio|Icons|Icons|CF|89|94|80|86|93|85|82
Fernando Morientes Sá...|LaLiga Santander||ST|89|78|51|70|73|89|93
Mohamed Salah|Liverpool|Premier League|RW|89|76|41|75|81|89|88
Karim Benzema|Real Madrid|LaLiga Santander|CF|89|70|83|89|91|76|76
Virgil van Dijk|Liverpool|Premier League|CB|89|93|82|88|93|66|76
Joshua Kimmich|FC Bayern München|Bundesliga|CDM|89|86|87|89|87|79|83
Casemiro|Real Madrid|LaLiga Santander|CDM|89|88|89|83|91|43|75
Sadio Mané|Liverpool|Premier League|LW|89|93|84|86|86|82|88
Heung Min Son|Spurs|Premier League|LM|89|78|63|65|65|88|98
Henk Veerman|FC Utrecht|Eredivisie|ST|88|88|71|84|85|80|75
André Vidigal|Marítimo|Liga Portugal|LW|88|70|82|91|90|61|63
Leonardo Godoy|Estudiantes|Liga Profesional de Fútbol|RB|88|85|74|84|82|86|92
Juan Patiño|Cerro Porteño|CONMEBOL Libertadores|CB|88|80|84|90|91|72|84
Iván Rossi|Marítimo|Liga Portugal|CDM|88|96|87|82|88|42|85
Kieran Gibbs|Inter Miami CF|Major League Soccer|LB|88|78|80|84|83|84|83
Bryan Linssen|Feyenoord|Eredivisie|ST|88|85|43|82|86|90|88
Yeimar Gómez Andrade|Sounders FC|Major League Soccer|CB|88|91|73|86|93|88|85
Khaled Narey|Düsseldorf|Bundesliga 2|RM|88|93|62|85|89|87|87
Barış Atik|1. FC Magdeburg|3. Liga|LW|88|91|55|77|85|90|85
Sergio Gómez|RSC Anderlecht|1A Pro League|LB|88|88|55|73|78|90|89
Onur Bulut|Kayserispor|Süper Lig|RB|88|95|70|85|88|87|88
Abdülkerim Bardakcı|Konyaspor|Süper Lig|CB|88|89|87|76|88|51|87
Alessandro Bastoni|Inter|Serie A TIM|CB|88|90|78|83|86|90|86
İlkay Gündoğan|Manchester City|Premier League|CM|88|82|81|86|89|87|85
Vitinha|FC Porto|Liga Portugal|CM|88|83|72|84|85|86|90
Benjamin Bourigeaud|Stade Rennais FC|Ligue 1 Uber Eats|RW|88|87|39|66|75|89|94
Wissam Ben Yedder|AS Monaco|Ligue 1 Uber Eats|ST|88|92|76|84|81|85|91
Ezgjan Alioski|Al Ahli|MBS Pro League|LB|88|83|78|84|90|82|82
Farouk Chafaï|Damac FC|MBS Pro League|CB|88|83|48|73|75|89|91
Jordi Alba|FC Barcelona|LaLiga Santander|LB|88|92|64|83|88|85|90
Luis Alberto|Latium|Serie A TIM|CM|88|83|82|84|88|87|91
Kal Naismith|Luton Town|EFL Championship|CB|88|92|86|88|90|57|67
Barry Bannan|Sheffield Wed|EFL League One|CM|88|85|87|90|91|60|80
Dom Telford|Newport County|EFL League Two|ST|88|94|88|85|90|50|77
Marcelo Brozović|Inter|Serie A TIM|CDM|88|95|88|83|89|40|73
Olivier Boscagli|PSV|Eredivisie|CB|88|91|88|85|90|45|75
Noussair Mazraoui|Ajax|Eredivisie|RB|88|91|71|82|84|86|87
Owen Wijndal|AZ|Eredivisie|LB|88|90|61|81|82|87|85
Tyrick Mitchell|Crystal Palace|Premier League|LB|88|95|86|92|93|37|77
Jean-Clair Todibo|OGC Nice|Ligue 1 Uber Eats|CB|88|93|91|84|90|45|87
Tino Livramento|Southampton|Premier League|RB|88|90|90|86|88|47|83
Lautaro Martínez|Inter|Serie A TIM|ST|88|83|80|88|86|83|85
Séamus Coleman|Everton|Premier League|RB|88|84|61|84|85|88|92
Ander Herrera|Paris SG|Ligue 1 Uber Eats|CM|88|84|84|86|89|86|86
Fabien Lemoine|FC Lorient|Ligue 1 Uber Eats|CDM|88|86|55|76|76|90|87
Dedryck Boyata|Hertha Berlin|Bundesliga|CB|88|86|70|85|94|86|95
Christopher Trimmel|Union Berlin|Bundesliga|RWB|88|90|88|87|92|50|72
Nicolò Barella|Inter|Serie A TIM|CM|88|92|74|83|84|85|86
Liam Cooper|Leeds United|Premier League|CB|88|95|86|86|92|43|78
Christian Günter|SC Freiburg|Bundesliga|LB|88|86|77|86|90|85|87
Suat Serdar|Hertha Berlin|Bundesliga|CM|88|99|88|81|89|43|88
Genki Haraguchi|Union Berlin|Bundesliga|CAM|88|82|73|83|84|88|87
Mario Götze|PSV|Eredivisie|CAM|88|87|86|84|89|55|77
Harvey Barnes|Leicester City|Premier League|LM|88|88|89|81|86|35|74
Ryan Kent|Rangers|cinch Premiership|CF|88|93|86|83|91|35|74
Iuri Medeiros|SC Braga|Liga Portugal|CAM|88|92|90|83|89|54|87
Serge Aurier|Villarreal CF|LaLiga Santander|RB|88|88|77|85|87|86|84
Benjamin Pavard|FC Bayern München|Bundesliga|RB|88|80|73|82|84|90|87
Suso|Sevilla FC|LaLiga Santander|RW|88|91|72|85|86|86|88
Martin Braithwaite|FC Barcelona|LaLiga Santander|ST|88|87|86|90|90|70|85
Andriy Yarmolenko|West Ham|Premier League|CAM|88|90|90|81|87|50|86
Thiago Mendes|OL|Ligue 1 Uber Eats|CDM|88|85|84|86|87|62|65
Edson Álvarez|Ajax|Eredivisie|CDM|88|88|70|80|84|82|90
Merino|Real Sociedad|LaLiga Santander|CM|88|97|77|82|85|83|86
Lucas Hernández|FC Bayern München|Bundesliga|CB|88|86|90|85|90|39|70
Moussa Sissoko|Watford|Premier League|CDM|88|94|87|86|90|40|76
Pedro|Latium|Serie A TIM|RW|88|89|85|85|91|60|62
Cristian Ansaldi|Torino|Serie A TIM|LWB|88|88|85|88|90|80|85
Kingsley Coman|FC Bayern München|Bundesliga|LM|88|83|80|85|93|56|70
Moses Simon|FC Nantes|Ligue 1 Uber Eats|LM|88|88|89|83|91|43|75
Eduardo Camavinga|Real Madrid|LaLiga Santander|CM|88|92|90|80|91|35|87
Iñaki Williams|Athletic Club|LaLiga Santander|ST|88|83|40|74|79|88|89
Sandro|Belenenses SAD|Liga Portugal|CDM|88|83|73|84|88|85|87
Ravel Morrison|Derby County|EFL Championship|CAM|88|92|45|82|84|86|87
Moussa Sylla|FC Utrecht|Eredivisie|ST|88|91|92|85|87|60|83
Quaresma|Vitória SC|Liga Portugal|RW|88|96|85|79|90|40|73
Ante Rebić|Milan|Serie A TIM|LM|88|90|85|86|88|60|75
Konrad Laimer|RB Leipzig|Bundesliga|CDM|88|83|78|83|92|37|66
Wilfred Ndidi|Leicester City|Premier League|CDM|88|86|88|87|91|41|61
Yuri Berchiche|Athletic Club|LaLiga Santander|LB|88|85|48|73|77|88|87
Orkun Kökçü|Feyenoord|Eredivisie|CM|88|85|82|86|87|81|84
Wayne Rooney|Icons|Icons|CF|88|90|82|85|85|82|84
Hidetoshi Nakata|Icons|Icons|CAM|88|91|84|87|91|41|62
Stefan Lainer|M'gladbach|Bundesliga|RB|88|92|88|85|89|52|76
Theo Hernández|Milan|Serie A TIM|LB|88|84|51|73|74|89|89
Iago Aspas|RC Celta|LaLiga Santander|ST|88|92|45|82|84|86|87
Stephy Mavididi|Montpellier|Ligue 1 Uber Eats|LM|88|92|45|82|84|86|87
Phil Foden|Manchester City|Premier League|CM|88|96|60|81|87|84|85
Matheus Nunes|Sporting CP|Liga Portugal|CM|88|94|85|84|91|46|81
Bernardo Silva|Manchester City|Premier League|CM|88|98|90|72|90|35|83
Wissam Ben Yedder|AS Monaco|Ligue 1 Uber Eats|ST|88|83|40|74|79|88|89
Tammy Abraham|Roma FC|Serie A TIM|ST|88|82|58|77|78|88|90
William Saliba|OM|Ligue 1 Uber Eats|CB|88|93|87|84|92|40|80
Trevoh Chalobah|Chelsea|Premier League|CDM|88|85|83|87|88|49|70
Japhet Tanganga|Spurs|Premier League|LB|88|86|50|70|83|89|82
Amine Gouiri|OGC Nice|Ligue 1 Uber Eats|ST|88|95|73|84|87|86|85
Ihlas Bebou|TSG Hoffenheim|Bundesliga|ST|88|84|85|88|91|77|86
Hany Mukhtar|Nashville SC|Major League Soccer|CAM|88|86|62|81|82|83|78
Jadon Sancho|Manchester Utd|Premier League|LM|88|92|64|81|83|87|85
Paulo Dybala|Piemonte Calcio|Serie A TIM|CF|88|93|88|82|92|33|78
Eric Bailly|Manchester Utd|Premier League|CB|88|85|82|86|87|85|89
Rodrigo Javier De Paul|Atlético de Madrid|LaLiga Santander|CM|88|89|78|84|84|89|92
Marcos Llorente Moreno|Atlético de Madrid|LaLiga Santander|CM|88|90|87|83|89|46|73
Alejandro Gómez|Sevilla FC|LaLiga Santander|CAM|88|83|79|81|91|80|76
Jarrod Bowen|West Ham|Premier League|RM|88|81|73|90|93|75|75
Chris Smalling|Roma FC|Serie A TIM|CB|88|88|83|89|92|75|75
Japhet Tanganga|Spurs|Premier League|RB|88|86|77|86|90|85|87
Japhet Tanganga|Spurs|Premier League|RB|88|87|86|86|89|55|68
Jeremie Frimpong|Leverkusen|Bundesliga|RB|88|91|88|85|91|37|67
Samuel Chukwueze|Villarreal CF|LaLiga Santander|RM|88|96|87|82|92|50|77
Patson Daka|Leicester City|Premier League|ST|88|92|87|84|93|39|80
William Saliba|OM|Ligue 1 Uber Eats|CB|88|86|90|80|90|47|78
Trevoh Chalobah|Chelsea|Premier League|CB|88|78|82|87|90|82|89
Matheus Cunha|Atlético de Madrid|LaLiga Santander|CAM|88|84|77|85|90|82|82
Ángel Di María|Paris SG|Ligue 1 Uber Eats|RW|88|92|87|82|87|46|83
Jules Koundé|Sevilla FC|LaLiga Santander|CB|88|92|87|82|90|46|80
Marco Verratti|Paris SG|Ligue 1 Uber Eats|CM|88|87|88|69|82|40|79
Sergiño Dest|FC Barcelona|LaLiga Santander|RB|88|80|64|75|78|89|87
Lucas Paquetá|OL|Ligue 1 Uber Eats|CM|88|85|88|72|84|55|89
Andrew Robertson|Liverpool|Premier League|LB|88|93|85|84|89|42|77
Matteo Darmian|Inter|Serie A TIM|RWB|88|86|82|89|91|77|76
Luis Muriel|Bergamo Calcio|Serie A TIM|ST|88|82|70|87|89|78|80
Seko Fofana|RC Lens|Ligue 1 Uber Eats|CM|88|82|42|60|72|89|87
Denis Zakaria|Piemonte Calcio|Serie A TIM|CDM|88|92|85|86|88|60|80
Serge Gnabry|FC Bayern München|Bundesliga|RM|88|88|88|73|85|40|85
Naby Keïta|Liverpool|Premier League|CM|88|92|83|84|92|48|73
Mateo Kovačić|Chelsea|Premier League|CM|88|96|80|87|92|38|47
Christopher Nkunku|RB Leipzig|Bundesliga|RF|88|76|57|91|78|86|84
Marcos Acuña|Sevilla FC|LaLiga Santander|LB|88|82|83|84|85|83|87
Coutinho|FC Barcelona|LaLiga Santander|CAM|88|87|85|85|85|73|72
Eden Hazard|Real Madrid|LaLiga Santander|LW|88|88|88|85|83|59|61
Lucas Moura|Spurs|Premier League|CAM|88|82|54|77|76|90|83
Anthony Martial|Manchester Utd|Premier League|ST|88|69|85|84|81|57|73
Goran Pandev|Genoa|Serie A TIM|ST|88|83|78|83|92|37|66
Sergej Milinković-Savić|Latium|Serie A TIM|CM|88|83|30|54|67|89|87
Nicolò Barella|Inter|Serie A TIM|CM|88|83|89|75|84|43|80
Marcus Rashford|Manchester Utd|Premier League|LM|88|83|90|73|82|43|83
Marcus Rashford|Manchester Utd|Premier League|LM|88|89|55|82|85|86|83
Ciro Immobile|Latium|Serie A TIM|ST|88|91|87|73|86|43|75
Piqué|FC Barcelona|LaLiga Santander|CB|88|81|75|89|88|63|64
Sébastien Haller|Ajax|Eredivisie|ST|88|70|46|60|61|91|88
Leroy Sané|FC Bayern München|Bundesliga|LM|88|87|88|87|90|50|90
Christopher Nkunku|RB Leipzig|Bundesliga|CAM|88|77|86|86|79|87|83
Frenkie de Jong|FC Barcelona|LaLiga Santander|CM|88|86|86|78|88|45|72
Milan Škriniar|Inter|Serie A TIM|CB|88|66|88|87|83|70|76
Tahith Chong|Birmingham City|EFL Championship|LM|88|82|85|87|86|70|85
Simon Banza|FC Famalicão|Liga Portugal|ST|88|74|72|84|78|85|88
David Neres|Ajax|Eredivisie|RW|88|71|47|70|72|89|82
Lorenzo Insigne|Napoli|Serie A TIM|LW|88|83|54|69|67|88|88
Declan Rice|West Ham|Premier League|CDM|88|83|61|85|82|87|80
Leon Goretzka|FC Bayern München|Bundesliga|CM|88|78|73|79|78|88|85
Parejo|Villarreal CF|LaLiga Santander|CM|88|84|89|73|85|35|75
Phil Foden|Manchester City|Premier League|CAM|88|83|89|81|83|33|64
Marquinhos|Paris SG|Ligue 1 Uber Eats|CB|88|91|86|66|87|31|62
Thomas Müller|FC Bayern München|Bundesliga|CAM|88|88|84|87|88|42|77
Jadon Sancho|Manchester Utd|Premier League|RM|88|88|80|86|86|40|62
Kalidou Koulibaly|Napoli|Serie A TIM|CB|88|70|40|63|65|90|85
Diego Milito|Serie A TIM||ST|88|91|88|81|92|59|70
Mario Gomez|Bundesliga||ST|88|82|82|87|77|90|80
Cafú|Icons|Icons|RB|88|82|80|87|86|47|76
Fernando Torres|Icons|Icons|ST|88|86|84|79|82|39|81
Xavi|Icons|Icons|CM|88|75|77|81|77|86|88
Nemanja Vidić|Icons|Icons|CB|88|80|48|65|64|89|82
Eric Cantona|Icons|Icons|CF|88|74|83|88|83|75|82
Andrea Pirlo|Icons|Icons|CM|88|95|81|80|88|44|64
Ronald Koeman|Icons|Icons|CB|88|85|75|80|84|86|89
Raúl|Icons|Icons|CF|88|87|54|73|65|90|78
Frank Lampard|Icons|Icons|CM|88|90|81|86|79|83|85
Clarence Seedorf|Icons|Icons|CM|88|82|88|70|80|41|84
Roy Keane|Icons|Icons|CM|88|90|91|85|90|46|70
Franco Baresi|Icons|Icons|CB|88|70|70|76|74|88|84
Marcel Desailly|Icons|Icons|CDM|88|75|86|89|84|70|77
Javier Zanetti|Icons|Icons|RB|88|72|90|82|84|47|83
Frank Rijkaard|Icons|Icons|CB|88|91|82|79|87|45|66
Andriy Shevchenko|Icons|Icons|ST|88|89|91|65|80|45|88
Jari Litmanen|Icons|Icons|CAM|88|53|81|91|81|71|68
Michael Owen|Icons|Icons|ST|88|84|87|74|78|39|83
Luís Figo|Icons|Icons|CAM|88|87|88|81|88|47|82
Robert Pirès|Icons|Icons|LM|88|90|90|81|85|42|91
Alessandro Nesta|Icons|Icons|CB|88|88|80|89|87|86|87
George Best|Icons|Icons|RW|88|87|85|71|81|53|75
Lothar Matthäus|Icons|Icons|CB|88|87|87|87|90|41|74
Rui Costa|Icons|Icons|CAM|88|83|80|85|87|86|90
Patrick Kluivert|Icons|Icons|ST|88|68|60|71|74|88|84
Emmanuel Petit|Icons|Icons|CDM|88|84|51|58|67|89|90
Rio Ferdinand|Icons|Icons|CB|88|88|87|78|90|43|80
Juan Sebastián Verón|Icons|Icons|CM|88|93|82|86|84|85|88
Marc Overmars|Icons|Icons|LW|88|92|82|86|87|71|83
Patrick Vieira|Icons|Icons|CM|88|77|61|62|71|88|89
Paolo Maldini|Icons|Icons|LB|88|92|70|85|84|87|84
Roberto Carlos|Icons|Icons|LB|88|83|70|86|87|90|85
Christian Vieri|Icons|Icons|ST|88|81|42|55|70|88|86
Antonio Di Natale|Serie A TIM||ST|88|95|87|88|90|48|74
Sergio Ramos|Paris SG|Ligue 1 Uber Eats|CB|88|91|85|87|92|55|75
Bruno Fernandes|Manchester Utd|Premier League|CAM|88|87|40|77|79|90|87
Luis Suárez|Atlético de Madrid|LaLiga Santander|ST|88|95|90|75|85|46|88
Raheem Sterling|Manchester City|Premier League|LW|88|88|74|84|89|85|83
Erling Haaland|Borussia Dortmund|Bundesliga|ST|88|68|82|88|90|75|74
Toni Kroos|Real Madrid|LaLiga Santander|CM|88|94|87|81|92|46|80
Romelu Lukaku|Chelsea|Premier League|ST|88|82|83|87|87|75|80
Mehdi Taremi|FC Porto|Liga Portugal|ST|87|95|87|85|90|50|85
Andy Delort|OGC Nice|Ligue 1 Uber Eats|ST|87|97|82|85|91|83|83
Sandro Tonali|Milan|Serie A TIM|CM|87|88|43|78|78|89|88
Jamie Vardy|Leicester City|Premier League|ST|87|91|88|78|84|37|71
Domenico Berardi|Sassuolo|Serie A TIM|RW|87|87|88|81|90|42|73
Aurélien Tchouaméni|AS Monaco|Ligue 1 Uber Eats|CDM|87|68|61|75|69|89|84
Leonardo Bonucci|Piemonte Calcio|Serie A TIM|CB|87|52|84|91|83|72|70
Cristian Romero|Spurs|Premier League|CB|87|83|78|84|84|87|85
Gabriel Jesus|Manchester City|Premier League|RW|87|87|87|88|90|60|82
James Tavernier|Rangers|cinch Premiership|RB|87|91|78|85|90|72|72
Filip Kostić|Frankfurt|Bundesliga|LM|87|88|85|74|87|50|86
Matthijs de Ligt|Piemonte Calcio|Serie A TIM|CB|87|84|88|89|87|70|86
João Félix|Atlético de Madrid|LaLiga Santander|CF|87|86|60|76|84|87|90
Léo Dubois|OL|Ligue 1 Uber Eats|RB|87|85|54|82|85|87|86
Jonas Hector|1. FC Köln|Bundesliga|CDM|87|86|86|85|88|47|89
Milan Škriniar|Inter|Serie A TIM|CB|87|88|83|83|90|59|61
Marcus Tavernier|Middlesbrough|EFL Championship|RM|87|89|88|84|91|53|78
Fabio Carvalho|Fulham|EFL Championship|CAM|87|79|87|74|86|48|80
Facundo Medina|RC Lens|Ligue 1 Uber Eats|CB|87|81|76|83|89|81|81
Victor Osimhen|Napoli|Serie A TIM|ST|87|90|87|86|87|52|79
Ainsley Maitland-Niles|Roma FC|Serie A TIM|CDM|87|82|83|88|87|58|73
İlkay Gündoğan|Manchester City|Premier League|CM|87|93|75|87|90|42|64
Noni Madueke|PSV|Eredivisie|RM|87|90|85|80|86|40|90
Giovani Lo Celso|Villarreal CF|LaLiga Santander|CM|87|89|64|84|87|80|78
Rodrigo|Leeds United|Premier League|ST|87|90|80|88|90|83|78
Youcef Atal|OGC Nice|Ligue 1 Uber Eats|RB|87|84|65|75|77|88|87
Piero Hincapié|Leverkusen|Bundesliga|CB|87|97|70|80|84|82|80
Pierre-Emerick Aubame...|FC Barcelona|LaLiga Santander|ST|87|85|84|87|91|49|70
Wissam Ben Yedder|AS Monaco|Ligue 1 Uber Eats|ST|87|84|75|84|88|87|83
Matthias Ginter|M'gladbach|Bundesliga|CB|87|88|80|86|91|37|47
Parejo|Villarreal CF|LaLiga Santander|CM|87|99|77|81|92|47|60
Francis Coquelin|Villarreal CF|LaLiga Santander|CM|87|93|86|85|89|47|73
Erik Lamela|Sevilla FC|LaLiga Santander|RM|87|90|89|90|91|45|81
Bukayo Saka|Arsenal|Premier League|RM|87|89|49|76|81|89|89
Lautaro Martínez|Inter|Serie A TIM|ST|87|83|61|80|82|87|89
Ruslan Malinovskyi|Bergamo Calcio|Serie A TIM|CF|87|85|46|74|75|87|90
Jurriën Timber|Ajax|Eredivisie|CB|87|90|77|87|84|83|82
Boubacar Kamara|OM|Ligue 1 Uber Eats|CDM|87|94|80|82|91|82|80
Gaëtan Laborde|Stade Rennais FC|Ligue 1 Uber Eats|ST|87|97|86|82|87|46|73
Phil Foden|Manchester City|Premier League|LW|87|85|35|71|80|87|85
Ángel Correa|Atlético de Madrid|LaLiga Santander|ST|87|95|85|80|93|38|62
André Silva|RB Leipzig|Bundesliga|ST|87|97|87|83|87|37|86
Nicolò Barella|Inter|Serie A TIM|CM|87|89|60|80|82|84|86
Xherdan Shaqiri|Chicago Fire FC|Major League Soccer|RW|87|84|68|84|90|85|84
Mason Mount|Chelsea|Premier League|CAM|87|94|86|80|85|50|93
Christian Pulisic|Chelsea|Premier League|LW|87|90|87|81|90|37|68
Gonçalo Ramos|SL Benfica|Liga Portugal|CF|87|87|70|83|84|78|73
Rúben Vinagre|Sporting CP|Liga Portugal|LWB|87|82|29|53|67|88|86
Raphaël Guerreiro|Borussia Dortmund|Bundesliga|LB|87|68|80|90|89|60|62
Rúben Vezo|Levante UD|LaLiga Santander|CB|87|82|76|85|87|82|84
Ryan Fredericks|West Ham|Premier League|RB|87|86|89|70|85|35|86
Daichi Kamada|Frankfurt|Bundesliga|CAM|87|90|85|80|86|40|90
Lucas Torreira|Fiorentina|Serie A TIM|CDM|87|93|84|74|90|30|73
Lorenzo Insigne|Napoli|Serie A TIM|LM|87|85|52|80|84|87|87
Moussa Diaby|Leverkusen|Bundesliga|RM|87|92|84|83|92|45|80
Erik Thommy|VfB Stuttgart|Bundesliga|LM|87|90|87|80|86|39|90
Dominik Szoboszlai|RB Leipzig|Bundesliga|CAM|87|89|87|78|83|48|90
Jason Denayer|OL|Ligue 1 Uber Eats|CB|87|89|64|84|87|80|78
Lisandro Martínez|Ajax|Eredivisie|CB|87|90|80|83|89|41|72
Presnel Kimpembe|Paris SG|Ligue 1 Uber Eats|CB|87|88|57|83|85|86|84
Renato Sanches|LOSC Lille|Ligue 1 Uber Eats|CM|87|94|90|82|88|33|86
Alex Telles|Manchester Utd|Premier League|LB|87|75|60|72|75|89|84
Juan Cuadrado|Piemonte Calcio|Serie A TIM|RB|87|94|64|80|82|83|84
Hirving Lozano|Napoli|Serie A TIM|RW|87|92|88|82|87|40|71
Luiz Felipe|Latium|Serie A TIM|CB|87|78|82|90|89|78|78
Neymar Jr|Paris SG|Ligue 1 Uber Eats|LW|87|91|87|80|90|40|82
Jamie Leweling|Fürth|Bundesliga|RW|87|96|76|80|84|81|85
Tyler Adams|RB Leipzig|Bundesliga|CDM|87|74|40|74|79|88|87
Maxence Caqueret|OL|Ligue 1 Uber Eats|CDM|87|72|82|83|83|81|88
Darwin Núñez|SL Benfica|Liga Portugal|LW|87|85|86|84|86|43|65
Giacomo Raspadori|Sassuolo|Serie A TIM|ST|87|96|86|84|90|36|81
Jordi Alba|FC Barcelona|LaLiga Santander|LB|87|85|88|84|89|38|68
Kalidou Koulibaly|Napoli|Serie A TIM|CB|87|80|80|90|88|79|80
Luis Alberto|Latium|Serie A TIM|CM|87|79|76|81|82|89|94
Eljif Elmas|Napoli|Serie A TIM|CDM|87|93|85|87|91|66|73
Dušan Vlahović|Fiorentina|Serie A TIM|ST|87|87|86|76|87|49|82
Gonçalo Matias Ramos|SL Benfica|Liga Portugal|CF|87|65|51|73|71|87|81
João Pedro|Watford|Premier League|ST|87|88|60|83|82|81|84
Evan Ndicka|Frankfurt|Bundesliga|CB|87|97|90|70|89|34|81
Trincão|Wolves|Premier League|RW|87|88|64|87|82|83|73
Arthur Cabral|Fiorentina|Serie A TIM|ST|87|85|85|79|84|80|90
Gyasi Zardes|Columbus Crew|Major League Soccer|ST|87|80|84|87|90|56|72
Rúben Nascimento Vinagre|Sporting CP|Liga Portugal|LWB|87|87|87|83|85|43|92
Reiss Nelson|Feyenoord|Eredivisie|RM|87|81|87|78|86|47|74
